row.names.t.stat.desc.L.L.Classification....2....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Year_Predictors,17318,0,0,2002,2019,17,34795573,2008.5,2009.21428571429,0.0385537139808581,0.0755691727431969,25.7412823072291,5.07358673003912,0.00252515959403277
R0000100,17318,0,0,18,9021,9003,79908346,4639,4614.17865804365,19.5328986905429,38.2864539601523,6607408.08507432,2570.48790798057,0.557084607788121
Year,17318,0,0,1,14,13,129885,7.5,7.5,0.0306330580695758,0.0600438872908977,16.2509383842467,4.03124526470999,0.537499368627998
No_HealthI_03_21,17318,10530,0,0,1,1,6788,0,0.391962120337221,0.00370980462771478,0.00727159170435516,0.238341579208347,0.488202395742121,1.24553463309694
General_H_02_19,17318,0,0,1,5,4,40421,2,2.33404550179005,0.00751541345042179,0.0147309693056666,0.978145566330461,0.989012419704859,0.423733135856331
Weeks_Worked_02_19,17318,3265,0,0,53,53,594829,46,34.3474419678947,0.1597793734811,0.313183707317743,442.118983754644,21.0266255912508,0.612174426581895
NOArrests_02_19,17318,16000,0,0,30,30,2027,0,0.117045848250375,0.00442032575772285,0.00866428487103504,0.338381247652393,0.581705464691877,4.96989404910406
MonthsIcar_02_19,17318,16389,0,0,12,12,7180,0,0.414597528582977,0.0153002811972846,0.0299900962431571,4.05411963647134,2.01348445150971,4.85647962830712
NA_B18,17318,0,0,1,17,16,30394,1,1.75505254648343,0.0115604004668565,0.0226595523402533,2.31442703136702,1.52132410464274,0.866825388043788
NA_A18,17318,8092,0,0,55,55,35126,1,2.02829426030719,0.0289120062721897,0.0566704519678773,14.4761873195386,3.80475851001592,1.87584148142276
B18_NOARREST,17318,17318,0,0,0,0,0,0,0,0,0,0,0,
B18_ARREST,17318,0,0,1,1,0,17318,1,1,0,0,0,0,0
B18_INCAF,17318,17318,0,0,0,0,0,0,0,0,0,0,0,
Classification,17318,0,0,2,2,0,34636,2,2,0,0,0,0,0
Hispanic,17318,13804,0,0,1,1,3514,0,0.202910266774454,0.0030561121684939,0.00599028847125252,0.161747030233561,0.402177858954916,1.98204785469016
White,17318,7518,0,0,1,1,9800,1,0.565885206143897,0.00376643203263711,0.00738258713651247,0.245673325621633,0.495654441745086,0.875892206340959
Black,17318,12222,0,0,1,1,5096,0,0.294260307194826,0.00346299437066072,0.0067878186764344,0.207683171134444,0.455722691046259,1.5487059583083
Other_R,17318,14882,0,0,1,1,2436,0,0.140662894098626,0.00264201469165246,0.00517861559907504,0.120883824564055,0.347683512068167,2.47175002545013
Male,17318,5866,0,0,1,1,11452,1,0.66127728375101,0.00359647988141777,0.00704946375753142,0.224002572413434,0.473289100247865,0.715719580692676
Sample,17318,0,0,1,2,1,21574,1,1.24575586095392,0.00327168577384483,0.00641283450740683,0.185370621688521,0.430546886748146,0.345610966195624
MSA_97,17318,3318,0,0,1,1,14000,1,0.808407437348424,0.00299066759431884,0.00586201049695943,0.154893796680838,0.393565492238379,0.486840513898875
Urban_97,17318,3318,0,0,1,1,14000,1,0.808407437348424,0.00299066759431884,0.00586201049695943,0.154893796680838,0.393565492238379,0.486840513898875
Northeast,17318,14462,0,0,1,1,2856,0,0.164915117219078,0.00282006563526407,0.00552761342900019,0.137726074101883,0.371114637412597,2.25033728666364
Northcentral,17318,13062,0,0,1,1,4256,0,0.245755860953921,0.00327168577384483,0.00641283450740683,0.185370621688521,0.430546886748146,1.7519292727219
South,17318,10976,0,0,1,1,6342,0,0.366208569118836,0.00366101159401069,0.00717595243093834,0.232113256028662,0.481781336322467,1.31559274399755
West,17318,13454,0,0,1,1,3864,0,0.223120452708165,0.0031638086329936,0.00620138441738238,0.173347725976535,0.41635048453981,1.86603459918748
PIB16,17318,15568,0,0,1,1,1750,0,0.101050929668553,0.00229034745737965,0.00448931230684024,0.0908448849731496,0.301404852272072,2.98270241808443
BMEA97,17318,0,0,1,20,19,209818,12,12.1156022635408,0.0211282651791381,0.0414135333856316,7.73081736261427,2.78043474345547,0.229492078311498
BFEA97,17318,0,0,2,20,18,207690,12,11.9927243330639,0.0219905638787038,0.0431037259158783,8.37472329306266,2.8939114176254,0.241305589727174
PHEALTH97,17318,0,0,1,5,4,41986,2,2.42441390460792,0.00851784743229217,0.0166958411407698,1.25648540746849,1.1209305988635,0.46235116732049
BBPHH,17318,10794,0,0,1,1,6524,0,0.376717865804365,0.00368225719354217,0.00721759595150356,0.234815074406209,0.484577212017042,1.28631332889502
CC1Y,17318,12404,0,0,1,1,4914,0,0.283751010509297,0.00342581882162746,0.00671495084616226,0.203248110778848,0.450830467891034,1.58882418456185
HT97,17318,16282,0,0,1,1,1036,0,0.0598221503637834,0.0018021863216354,0.00353246718390633,0.0562467085651741,0.237163885457239,3.96448278798114
HHNW97,17318,0,0,-487000,600000,1087000,1229961642,23100,71022.1527890057,938.207718868207,1838.98187373994,15243887627.7966,123466.139600283,1.7384173071616
