row.names.t.stat.desc.L.L.Classification....4....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Year_Predictors,1442,0,0,2002,2019,17,2897287,2008.5,2009.21428571429,0.133650491188181,0.262170355464255,25.7576583721622,5.07520032827889,0.00252596269316024
R0000100,1442,0,0,370,8892,8522,7616322,5493,5281.77669902913,58.9435989418891,115.624448137488,5010009.60867251,2238.30507497805,0.423778815827161
Year,1442,0,0,1,14,13,10815,7.5,7.5,0.106192707131344,0.208308847418572,16.2612768910479,4.03252735775567,0.537670314367422
No_HealthI_03_21,1442,606,0,0,1,1,836,1,0.579750346740638,0.0130029592050409,0.0255067557669721,0.243808959142836,0.49377014808799,0.85169444203694
General_H_02_19,1442,0,0,1,5,4,3395,2,2.35436893203884,0.0289201109361315,0.0567300254326473,1.20604960147686,1.098202896316,0.466453188950715
Weeks_Worked_02_19,1442,455,0,0,53,53,38007,27,26.3571428571429,0.591888706821189,1.16105576031218,505.179091900466,22.4761894435081,0.852755155038249
NOArrests_02_19,1442,1215,0,0,19,19,388,0,0.269070735090153,0.0247377806186955,0.0485259177167447,0.882443133091618,0.93938444371387,3.49121744287475
MonthsIcar_02_19,1442,1117,0,0,12,12,2714,0,1.88210818307906,0.104597886623034,0.205180428990416,15.7765151916193,3.97196616194289,2.11038143165868
NA_B18,1442,42,0,0,17,17,5866,3,4.06796116504854,0.0921562944135274,0.180774857240477,12.2465925092472,3.49951318175074,0.86026219026331
NA_A18,1442,322,0,0,30,30,6454,2,4.47572815533981,0.150854839662209,0.295918605207806,32.8158573805947,5.72851266740283,1.27990630095985
B18_NOARREST,1442,1442,0,0,0,0,0,0,0,0,0,0,0,
B18_ARREST,1442,1442,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,1442,0,0,1,1,0,1442,1,1,0,0,0,0,0
Classification,1442,0,0,4,4,0,5768,4,4,0,0,0,0,0
Hispanic,1442,1162,0,0,1,1,280,0,0.194174757281553,0.010420410525898,0.0204407982894099,0.156579505871731,0.395701283636699,2.037861610729
White,1442,742,0,0,1,1,700,0,0.485436893203884,0.0131659960922948,0.0258265708181936,0.249961259373547,0.499961257872595,1.02992019121755
Black,1442,854,0,0,1,1,588,0,0.407766990291262,0.0129455452649492,0.0253941319153975,0.241660659062275,0.491589929781189,1.20556578017768
Other_R,1442,1288,0,0,1,1,154,0,0.106796116504854,0.00813618923685671,0.0159600432844485,0.0954569035796339,0.308961006568198,2.89299851604767
Male,1442,294,0,0,1,1,1148,1,0.796116504854369,0.0106132246845435,0.0208190247819668,0.162427656091037,0.403023145850256,0.506236390519225
Sample,1442,0,0,1,2,1,1904,1,1.32038834951456,0.012292402572572,0.0241129196257374,0.217890758170903,0.466787701392082,0.353523038554297
MSA_97,1442,406,0,0,1,1,1036,1,0.718446601941748,0.0118480163192399,0.0232412063909878,0.202421457590805,0.449912722192654,0.626229870078965
Urban_97,1442,378,0,0,1,1,1064,1,0.737864077669903,0.0115856248887415,0.022726496314033,0.193554907258309,0.439948755263961,0.596246339370895
Northeast,1442,1260,0,0,1,1,182,0,0.12621359223301,0.00874830096991811,0.0171607687678633,0.11036025413851,0.33220513863953,2.63208686768243
