row.names.t.stat.desc.L.L.Classification....3....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Year_Predictors,2352,0,0,2002,2019,17,4725672,2008.5,2009.21428571429,0.104634820843904,0.205186115365054,25.7507443641004,5.07451912639024,0.00252562365421676
R0000100,2352,0,0,24,8937,8913,11967648,5417,5088.28571428572,55.4987713838629,108.831622359981,7244427.24627818,2691.547370246,0.528969386032962
Year,2352,0,0,1,14,13,17640,7.5,7.5,0.0831381522569366,0.163031717000575,16.2569119523607,4.03198610517952,0.537598147357269
No_HealthI_03_21,2352,1107,0,0,1,1,1245,1,0.529336734693878,0.0102942533926745,0.020186758549312,0.249245327650414,0.499244757258816,0.943151541423883
General_H_02_19,2352,0,0,1,5,4,5352,2,2.27551020408163,0.0210212471337139,0.0412221094728125,1.0393319386453,1.01947630607352,0.448020977556971
Weeks_Worked_02_19,2352,662,0,0,53,53,65358,31,27.7882653061225,0.452826849273317,0.887981471043936,482.282669554423,21.9609350792361,0.790295286060824
NOArrests_02_19,2352,2053,0,0,50,50,563,0,0.23937074829932,0.0266127257454443,0.0521868510973936,1.66577382760846,1.29064860733217,5.39183929741608
MonthsIcar_02_19,2352,1946,0,0,12,12,3469,0,1.47491496598639,0.0752200566637774,0.147504541030414,13.3077498864284,3.64797887691642,2.47334860723766
NA_B18,2352,70,0,0,14,14,8428,3,3.58333333333333,0.0587839621430471,0.115273794522877,8.12746349071317,2.85087065485496,0.795591810657199
NA_A18,2352,532,0,0,60,60,9814,2,4.17261904761905,0.128146667729405,0.251292225057647,38.623528994754,6.21478310118334,1.48942020113952
B18_NOARREST,2352,2282,0,0,1,1,70,0,0.0297619047619048,0.0035046383427665,0.00687250306840444,0.0288884162767617,0.169965926811116,5.7108551408535
B18_ARREST,2352,70,0,0,1,1,2282,1,0.970238095238095,0.0035046383427665,0.00687250306840444,0.0288884162767617,0.169965926811116,0.175179605547653
B18_INCAF,2352,2352,0,0,0,0,0,0,0,0,0,0,0,
Classification,2352,0,0,3,3,0,7056,3,3,0,0,0,0,0
Hispanic,2352,1708,0,0,1,1,644,0,0.273809523809524,0.009196513969782,0.0180341205837689,0.198922444349922,0.446007224549022,1.62889595052686
White,2352,1260,0,0,1,1,1092,0,0.464285714285714,0.0102856788397437,0.0201699440778705,0.248830284985113,0.49882891354162,1.07440073685887
Black,2352,1484,0,0,1,1,868,0,0.369047619047619,0.00995206447812811,0.0195157351411341,0.232950517510279,0.482649476856942,1.30782438890268
Other_R,2352,1960,0,0,1,1,392,0,0.166666666666667,0.00768612489512095,0.0150722875685258,0.138947965404792,0.372757247286746,2.23654348372048
