row.names.t.stat.desc.L.L.Classification....1....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Year_Predictors,94248,0,0,2002,2019,17,189364428,2008.5,2009.21428571429,0.01652603933522,0.0323908578828027,25.7400690283435,5.07346716046763,0.00252510008342091
R0000100,94248,0,0,1,9022,9021,426304256,4530,4523.21806298277,8.48360197114616,16.6277678642596,6783170.15865088,2604.4519881639,0.57579624769327
Year,94248,0,0,1,14,13,706860,7.5,7.5,0.0131308522667164,0.0257363280471478,16.2501724192813,4.03115026007233,0.537486701342978
No_HealthI_03_21,94248,70364,0,0,1,1,23884,0,0.2534165181224,0.00141684675797691,0.00277700428084627,0.189198593919855,0.434969647124779,1.71642184316765
General_H_02_19,94248,0,0,1,5,4,207676,2,2.20350564468212,0.00309943813548881,0.0060748651341523,0.905394991193322,0.95152245963683,0.431822111249504
Weeks_Worked_02_19,94248,12968,0,0,53,53,3608536,51,38.2876665817842,0.0635509331657019,0.12455913983593,380.641386820107,19.5100329784475,0.509564429495152
NOArrests_02_19,94248,92145,0,0,60,60,3056,0,0.0324250912486207,0.0012635202159244,0.00247648592115073,0.150465361456006,0.387898648432817,11.9629161706466
MonthsIcar_02_19,94248,93210,0,0,12,12,6821,0,0.0723728885493591,0.00270398434908585,0.00529978000124352,0.68909720762682,0.830118791274369,11.4700243131545
NA_B18,94248,94248,0,0,0,0,0,0,0,0,0,0,0,
NA_A18,94248,73654,0,0,68,68,53886,0,0.57174688057041,0.00728588735930973,0.014280260213502,5.00307540392355,2.23675555301055,3.91214299373007
B18_NOARREST,94248,0,0,1,1,0,94248,1,1,0,0,0,0,0
B18_ARREST,94248,94248,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,94248,94248,0,0,0,0,0,0,0,0,0,0,0,
Classification,94248,0,0,1,1,0,94248,1,1,0,0,0,0,0
Hispanic,94248,74046,0,0,1,1,20202,0,0.214349376114082,0.0013367250116469,0.00261996652690807,0.168405507907343,0.410372401493257,1.91450243025128
