row.names.t.stat.desc.G...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,8240,0,0,1,9022,9021,37556898,4577.5,4557.87597087379,28.6389597845475,56.1395769945126,6758365.74453723,2599.68570110643,0.57037219040606
NA_B18,8240,6740,0,0,17,17,3192,0,0.387378640776699,0.0132525908736197,0.0259784172094051,1.44720079847564,1.2029965912153,3.10547992218487
NA_A18,8240,5900,0,0,68,68,7520,0,0.912621359223301,0.0313833175314055,0.0615192096414132,8.11567998284267,2.84880325449875,3.12156101290821
B18_NOARREST,8240,1503,0,0,1,1,6737,1,0.817597087378641,0.00425449777477016,0.00833988759356282,0.14915019083992,0.386199677420787,0.472359409521639
B18_ARREST,8240,6840,0,0,1,1,1400,0,0.169902912621359,0.00413740090941711,0.00811034823397161,0.141053030990423,0.375570274370088,2.21049932914966
B18_INCAF,8240,8137,0,0,1,1,103,0,0.0125,0.00122401378022923,0.00239937540938898,0.0123452482097342,0.111109172482447,8.88873379859577
Classification,8240,0,0,1,4,3,10122,1,1.22839805825243,0.00595334333910171,0.0116700529374884,0.292044526564988,0.540411441926415,0.439931859461931
Hispanic,8240,6480,0,0,1,1,1760,0,0.213592233009709,0.00451522476112545,0.00885097817908535,0.167990978262279,0.409867025097505,1.91892289022923
White,8240,3456,0,0,1,1,4784,1,0.580582524271845,0.00543648243601449,0.0106568753401661,0.243536012123255,0.493493679922301,0.849997475451455
Black,8240,5969,0,0,1,1,2271,0,0.275606796116505,0.00492260392258758,0.00964954397801506,0.199671922080279,0.446846642686592,1.62131939046126
Other_R,8240,7053,0,0,1,1,1187,0,0.144053398058252,0.00386854664983563,0.00758332614519376,0.123316982219305,0.351165177970859,2.43774310571178
Male,8240,4056,0,0,1,1,4184,1,0.507766990291262,0.00550782772656733,0.0107967300856707,0.249970010028081,0.499970009128629,0.984644568647204
Sample,8240,0,0,1,2,1,10348,1,1.25582524271845,0.00480697555086933,0.00942288323594686,0.190401794920441,0.43635054133167,0.347461196421817
MSA_97,8240,1466,0,0,1,1,6774,1,0.822087378640777,0.00421332653210192,0.00825918158450657,0.146277472640779,0.382462380687015,0.46523324724845
Urban_97,8240,1980,0,0,1,1,6260,1,0.759708737864078,0.00470712030960122,0.00922714180372832,0.182573528458657,0.427286237150996,0.562434280211534
Northeast,8240,6812,0,0,1,1,1428,0,0.173300970873786,0.00417000869217043,0.00817426770396187,0.143285133340482,0.378530227776438,2.18423604823379
Northcentral,8240,6370,0,0,1,1,1870,0,0.226941747572816,0.00461451493902841,0.00904561194473592,0.175460484529535,0.418880035964397,1.84576015847413
South,8240,5108,0,0,1,1,3132,0,0.380097087378641,0.00534775937649964,0.0104829557890268,0.235651890075264,0.485439893370192,1.27714710133154
West,8240,6430,0,0,1,1,1810,0,0.219660194174757,0.00456121255182631,0.00894112583585364,0.171430397929808,0.414041541309333,1.88491839800492
PIB16,8240,7689,0,0,1,1,551,0,0.066868932038835,0.00275198629491527,0.00539458652316692,0.062405051395388,0.249810030614041,3.73581606580707
BMEA97,8240,0,0,1,20,19,102195,12,12.4023058252427,0.0322409047382401,0.0632002966428194,8.56528173192383,2.92665025787569,0.235976301432513
BFEA97,8240,0,0,1,20,19,101763,12,12.3498786407767,0.0348591166574417,0.0683326516840553,10.01290203649,3.16431699367967,0.25622251729922
PHEALTH97,8240,0,0,1,5,4,19203,2,2.33046116504854,0.0121008965702217,0.0237208061960805,1.20659718989839,1.09845217915865,0.471345412501551
BBPHH,8240,4259,0,0,1,1,3981,0,0.483131067961165,0.00550535648345653,0.0107918858265239,0.249745748081879,0.499745683404949,1.03438945773845
CC1Y,8240,5926,0,0,1,1,2314,0,0.280825242718447,0.00495105827106366,0.00970532167033068,0.201986938748576,0.449429570398495,1.6003887900102
HT97,8240,7814,0,0,1,1,426,0,0.0516990291262136,0.00243936641319624,0.00478177278789815,0.0490321900221183,0.221432134122666,4.28310043467316
HHNW97,8240,3,0,-935251,600000,1535251,743746674,35000,90260.5186893204,1525.39363306158,2990.15585602398,19173044062.8667,138466.761581496,1.53407894827308
GH97,8240,0,0,1,5,4,16029,2,1.94526699029126,0.0100318977359161,0.0196650471799055,0.829265130795164,0.91063995673107,0.468131090115666
GH98,8240,0,0,1,5,4,15806,2,1.91820388349515,0.010061626436063,0.019723322922579,0.834187330680389,0.913338563009572,0.47614258883961
GH99,8240,0,0,1,5,4,16166,2,1.9618932038835,0.0101426707963333,0.0198821902884887,0.84767987207421,0.920695319893726,0.469289214148478
GH00,8240,0,0,1,5,4,16406,2,1.99101941747573,0.0103648312760668,0.0203176808038903,0.885220953622188,0.940861814307599,0.472552806893491
GH01,8240,0,0,1,5,4,16797,2,2.03847087378641,0.0102443787324881,0.0200815634694866,0.864765715864754,0.929927801425871,0.456188907766219
GH02,8240,0,0,1,5,4,17169,2,2.08361650485437,0.010254857789917,0.0201021050623303,0.866535772321318,0.930879032055894,0.446761210562092
GH03,8240,0,0,1,5,4,17168,2,2.08349514563107,0.0103429367787288,0.0202747620726128,0.881485051560362,0.938874353446915,0.450624689678622
