row.names.t.stat.desc.G.G.Classification....2....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,1237,0,0,18,9021,9003,5707739,4639,4614.17865804365,73.1128630065118,143.439039968109,6612372.04168007,2571.4532936999,0.55729382936164
NA_B18,1237,0,0,1,17,16,2171,1,1.75505254648343,0.0432713028938665,0.0848933264275625,2.3161657941622,1.52189546098351,0.867150937465038
NA_A18,1237,578,0,0,55,55,2509,1,2.02829426030719,0.108219450032035,0.212314131606217,14.4870628647971,3.8061874447795,1.87654598214119
B18_NOARREST,1237,1237,0,0,0,0,0,0,0,0,0,0,0,
B18_ARREST,1237,0,0,1,1,0,1237,1,1,0,0,0,0,0
B18_INCAF,1237,1237,0,0,0,0,0,0,0,0,0,0,0,
Classification,1237,0,0,2,2,0,2474,2,2,0,0,0,0,0
Hispanic,1237,986,0,0,1,1,251,0,0.202910266774454,0.0114392192294434,0.0224424342965471,0.161868546148553,0.402328902949506,1.98279224282287
White,1237,537,0,0,1,1,700,1,0.565885206143897,0.0140979909632594,0.0276586390696927,0.245857892960576,0.495840592288062,0.876221160943333
Black,1237,873,0,0,1,1,364,0,0.294260307194826,0.0129622047923191,0.0254303570510523,0.207839197557511,0.455893844614633,1.54928759831951
Other_R,1237,1063,0,0,1,1,174,0,0.140662894098626,0.00988922644161878,0.0194015264685599,0.120974641122038,0.347814089884292,2.47267832866017
Male,1237,419,0,0,1,1,818,1,0.66127728375101,0.0134618494183397,0.0264106024214905,0.224170859135658,0.473466851147636,0.715988380036218
Sample,1237,0,0,1,2,1,1541,1,1.24575586095392,0.0122461247341278,0.0240254902210102,0.185509885331722,0.430708585161385,0.345740765635712
MSA_97,1237,237,0,0,1,1,1000,1,0.808407437348424,0.0111942560899736,0.0219618447517225,0.155010163957586,0.393713301728029,0.487023354237572
Urban_97,1237,237,0,0,1,1,1000,1,0.808407437348424,0.0111942560899736,0.0219618447517225,0.155010163957586,0.393713301728029,0.487023354237572
Northeast,1237,1033,0,0,1,1,204,0,0.164915117219078,0.010555682273633,0.0207090362663469,0.137829543759958,0.371254015143214,2.25118243496155
