row.names.t.stat.desc.G.G.Classification....4....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,103,0,0,370,8892,8522,544023,5493,5281.77669902913,221.548367242033,439.44013596692,5055618.9398439,2248.47035556262,0.425703410743571
NA_B18,103,3,0,0,17,17,419,3,4.06796116504854,0.346383270192269,0.687049574071869,12.3580810965163,3.51540624914337,0.864169077951712
NA_A18,103,23,0,0,30,30,461,2,4.47572815533981,0.567010566332582,1.12466276987573,33.1146011802779,5.75452875397091,1.2857190057679
B18_NOARREST,103,103,0,0,0,0,0,0,0,0,0,0,0,
B18_ARREST,103,103,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,103,0,0,1,1,0,103,1,1,0,0,0,0,0
Classification,103,0,0,4,4,0,412,4,4,0,0,0,0,0
Hispanic,103,83,0,0,1,1,20,0,0.194174757281553,0.0391666776282258,0.0776869193692467,0.158004949552637,0.397498364213787,2.047116575701
White,103,53,0,0,1,1,50,0,0.485436893203884,0.0494863732402664,0.0981559866855413,0.25223681705692,0.502231835965145,1.0345975820882
Black,103,61,0,0,1,1,42,0,0.407766990291262,0.0486577757041077,0.0965124674013137,0.243860651056539,0.493822489419568,1.21104086690989
Other_R,103,92,0,0,1,1,11,0,0.106796116504854,0.0305810889283313,0.060657444891035,0.0963259090043785,0.310364155476077,2.90613709218508
Male,103,21,0,0,1,1,82,1,0.796116504854369,0.0398913985953177,0.0791243999712546,0.163906339234723,0.404853478723751,0.508535467177395
Sample,103,0,0,1,2,1,136,1,1.32038834951456,0.0462028408228004,0.09164311570416,0.219874357509994,0.468907621509818,0.355128566290524
MSA_97,103,29,0,0,1,1,74,1,0.718446601941748,0.0445325483632647,0.0883300985302576,0.20426422996383,0.451956004455998,0.62907389809416
Urban_97,103,27,0,0,1,1,76,1,0.737864077669903,0.0435463107726059,0.0863739009453695,0.195316961736151,0.441946786090985,0.598954196939098
Northeast,103,90,0,0,1,1,13,0,0.12621359223301,0.0328818027880863,0.0652208999231689,0.111364934323244,0.333713850961035,2.64404051146051
Northcentral,103,75,0,0,1,1,28,0,0.271844660194175,0.0440526802414092,0.0873782823858218,0.19988577955454,0.447085874921743,1.64463732560498
South,103,56,0,0,1,1,47,0,0.456310679611651,0.0493180199422042,0.0978220587170715,0.250523510375024,0.500523236598486,1.0968913482903
West,103,88,0,0,1,1,15,0,0.145631067961165,0.0349260647662379,0.069275683864093,0.125642490005711,0.354460844107937,2.4339644628745
PIB16,103,90,0,0,1,1,13,0,0.12621359223301,0.0328818027880863,0.0652208999231689,0.111364934323244,0.333713850961035,2.64404051146051
BMEA97,103,0,0,1,18,17,1181,12,11.4660194174757,0.274846766570653,0.545157258324228,7.78069674471731,2.78939003094177,0.243274490420831
BFEA97,103,0,0,3,16,13,1130,12,10.9708737864078,0.232294734027696,0.460755503533061,5.55796687607082,2.35753406678903,0.214890273344487
PHEALTH97,103,0,0,1,5,4,283,3,2.74757281553398,0.110135896016968,0.218454027547231,1.24938130592043,1.11775726610048,0.406816248792755
BBPHH,103,80,0,0,1,1,23,0,0.223300970873786,0.0412355318989143,0.0817904820058149,0.175138016371597,0.418494941870983,1.87412952229179
CC1Y,103,79,0,0,1,1,24,0,0.233009708737864,0.0418583259892831,0.0830257911311225,0.180468303826385,0.424815611561516,1.82316699961817
HT97,103,90,0,0,1,1,13,0,0.12621359223301,0.0328818027880863,0.0652208999231689,0.111364934323244,0.333713850961035,2.64404051146051
HHNW97,103,0,0,-40000,600000,640000,4768219,10500,46293.3883495146,8870.54609092982,17594.6861122228,8104718558.98496,90026.2103999994,1.9446882937214
GH97,103,0,0,1,5,4,229,2,2.22330097087379,0.0994292094018028,0.197217365411132,1.01827527127356,1.00909626462174,0.453872992384453
GH98,103,0,0,1,5,4,230,2,2.23300970873786,0.0937854657785997,0.186023026693964,0.905958499904816,0.951818522568676,0.426249164454668
GH99,103,0,0,1,4,3,215,2,2.0873786407767,0.10054751703686,0.199435523302883,1.04130972777461,1.02044584754636,0.488864754871046
GH00,103,0,0,1,5,4,216,2,2.09708737864078,0.100932793123622,0.200199716594211,1.04930515895679,1.02435597277352,0.488466042572559
GH01,103,0,0,1,5,4,226,2,2.19417475728155,0.102378205024863,0.203066684246993,1.07957357700362,1.03902530142611,0.473538079853492
GH02,103,0,0,1,4,3,223,2,2.16504854368932,0.0966772223360118,0.191758812114509,0.962687987816486,0.981166646302495,0.453184594480525
GH03,103,0,0,1,4,3,229,2,2.22330097087379,0.0965145867471279,0.191436225195084,0.959451741861793,0.979516075346287,0.440568365767107
GH04,103,0,0,1,5,4,238,2,2.31067961165049,0.112115091233917,0.222379751875819,1.29468874928612,1.13784390374345,0.492428244057037
GH05,103,0,0,1,5,4,230,2,2.23300970873786,0.109690289205569,0.217570168549638,1.23929183323815,1.11323485089093,0.498535607138112
GH06,103,0,0,1,5,4,239,2,2.32038834951456,0.108827571709446,0.215858972486599,1.21987435750999,1.10447922457147,0.475988954522433
GH07,103,0,0,1,5,4,241,2,2.33980582524272,0.111710476438075,0.221577200346723,1.28536074624024,1.13373751205482,0.484543418015129
GH08,103,0,0,1,5,4,235,2,2.28155339805825,0.108129023521921,0.214473405468765,1.20426422996383,1.09738973476328,0.480983585874971
GH09,103,0,0,1,5,4,251,3,2.4368932038835,0.107468936106196,0.213164125209437,1.18960593946316,1.09069057915761,0.447574221726032
GH10,103,0,0,1,5,4,262,3,2.54368932038835,0.112747980835117,0.223635085398994,1.30934703978679,1.1442670316787,0.449845436117963
GH11,103,0,0,1,5,4,246,2,2.38834951456311,0.104380552658158,0.20703833128363,1.12221587664192,1.05934691043204,0.443547690140246
GH13,103,0,0,1,5,4,245,2,2.37864077669903,0.108742623158753,0.215690477439077,1.217970683419,1.10361709094187,0.463969634151073
GH15,103,0,0,1,5,4,247,2,2.39805825242718,0.105384997425264,0.209030642716673,1.14391776127927,1.06954091145653,0.446002890202522
GH17,103,0,0,1,5,4,243,2,2.35922330097087,0.106744185494488,0.211726585807472,1.1736150770988,1.08333516378764,0.459191448025215
GH19,103,0,0,1,5,4,266,2,2.58252427184466,0.122263903841231,0.242509873562469,1.53969160479726,1.24084310240951,0.48047684040669
GH21,103,0,0,1,5,4,254,2,2.46601941747573,0.110219770750027,0.218620392682567,1.25128498001142,1.11860850167135,0.453608959339169
WW_97,103,81,0,0,52,52,589,0,5.71844660194175,1.33095763097259,2.63994815038221,182.459166190748,13.5077446744728,2.36213531658862
WW_98,103,66,0,0,52,52,884,0,8.58252427184466,1.57770519370683,3.12937077112753,256.382828859699,16.0119589326134,1.86564679870948
WW_99,103,49,0,0,52,52,1263,5,12.2621359223301,1.59823105413105,3.17008371795688,263.09727774605,16.220273664339,1.32279349756684
WW_00,103,37,0,0,53,53,1832,10,17.7864077669903,1.92282325847954,3.81391081624859,380.816676185037,19.5145247491461,1.09715941548147
