row.names.t.stat.desc.G.G.Classification....3....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,168,0,0,24,8937,8913,854832,5417,5088.28571428572,208.233907123136,411.110155101684,7284708.49272883,2699.01991336278,0.530437963769427
NA_B18,168,5,0,0,14,14,602,3,3.58333333333333,0.220560091836275,0.435445383591797,8.17265469061876,2.85878552721584,0.797800612246282
NA_A18,168,38,0,0,60,60,701,2,4.17261904761905,0.480812108821984,0.949253382234655,38.8382877102937,6.23203720385988,1.49355527852847
B18_NOARREST,168,163,0,0,1,1,5,0,0.0297619047619048,0.0131495619987728,0.0259607983518169,0.0290490447676076,0.170437803223368,5.72671018830518
B18_ARREST,168,5,0,0,1,1,163,1,0.970238095238095,0.0131495619987728,0.0259607983518169,0.0290490447676076,0.170437803223368,0.175665956696478
B18_INCAF,168,168,0,0,0,0,0,0,0,0,0,0,0,
Classification,168,0,0,3,3,0,504,3,3,0,0,0,0,0
Hispanic,168,122,0,0,1,1,46,0,0.273809523809524,0.0345057374801099,0.0681236753578153,0.200028514399772,0.447245474431851,1.63341825444676
White,168,90,0,0,1,1,78,0,0.464285714285714,0.0385923334662569,0.0761917231263727,0.250213857998289,0.500213812282597,1.07738359568559
Black,168,106,0,0,1,1,62,0,0.369047619047619,0.0373405972519342,0.0737204566725751,0.234245794126034,0.483989456626933,1.31145530182782
Other_R,168,140,0,0,1,1,28,0,0.166666666666667,0.0288386891752493,0.0569353864774539,0.139720558882236,0.373792133253544,2.24275279952127
Male,168,43,0,0,1,1,125,1,0.744047619047619,0.0337692734621698,0.0666696958362999,0.191581123467351,0.437699809763896,0.588268544322677
Sample,168,0,0,1,2,1,229,1,1.36309523809524,0.0372125378208027,0.0734676326569188,0.232641859138865,0.482329616692636,0.353848801765777
MSA_97,168,33,0,0,1,1,135,1,0.803571428571429,0.030743714391424,0.0606964224341537,0.158789563729684,0.398484082153458,0.495891302235414
Urban_97,168,27,0,0,1,1,141,1,0.839285714285714,0.028419990021535,0.0561087608985436,0.135692899914457,0.368365171961814,0.438903183614076
Northeast,168,149,0,0,1,1,19,0,0.113095238095238,0.0245076922075058,0.0483848249490615,0.100905332192757,0.317655996626472,2.8087477596446
Northcentral,168,132,0,0,1,1,36,0,0.214285714285714,0.031751971690278,0.0626869955364927,0.169375534644996,0.411552590375757,1.92057875508687
South,168,98,0,0,1,1,70,0,0.416666666666667,0.0381499998474,0.0753184367093465,0.244510978043912,0.494480513310598,1.18675323194543
West,168,125,0,0,1,1,43,0,0.255952380952381,0.0337692734621698,0.0666696958362999,0.191581123467351,0.437699809763896,1.7100829776822
PIB16,168,142,0,0,1,1,26,0,0.154761904761905,0.0279874498816251,0.0552548094625707,0.131593954947248,0.362758810984996,2.34398000944152
BMEA97,168,0,0,2,20,18,1952,12,11.6190476190476,0.229957894605166,0.453999192658297,8.88394639292843,2.98059497297577,0.256526616526603
BFEA97,168,0,0,2,19,17,1848,12,11,0.210739596765085,0.41605706538911,7.46107784431138,2.73149736304309,0.248317942094827
PHEALTH97,168,0,0,1,5,4,448,3,2.66666666666667,0.0880137031264377,0.173762897903015,1.30139720558882,1.14078797573818,0.427795490901819
BBPHH,168,134,0,0,1,1,34,0,0.202380952380952,0.0310902590300062,0.0613805954494204,0.162389506700884,0.402975814039607,1.99117461054865
CC1Y,168,136,0,0,1,1,32,0,0.19047619047619,0.0303862373647156,0.0599906659225187,0.155118334759053,0.393850650321989,2.06771591419044
HT97,168,153,0,0,1,1,15,0,0.0892857142857143,0.0220660108626467,0.043564284383589,0.0818006843455945,0.286008189298129,3.20329172013905
HHNW97,168,0,0,-48250,600000,648250,8790957,13500,52327.125,7920.28012465065,15636.7790216243,10538780658.4933,102658.563493229,1.96186133851666
GH97,168,0,0,1,5,4,364,2,2.16666666666667,0.0772286342769695,0.152470249703962,1.00199600798403,1.00099750648242,0.461998849145735
GH98,168,0,0,1,4,3,357,2,2.125,0.0774686393128786,0.152944084675898,1.00823353293413,1.0041083272905,0.472521565783766
GH99,168,0,0,1,5,4,348,2,2.07142857142857,0.076255496920705,0.15054901288429,0.976903336184773,0.988384204742656,0.477150995393007
GH00,168,0,0,1,5,4,377,2,2.24404761904762,0.0875387501508986,0.172825212037454,1.28738950670088,1.13463188158137,0.505618451208675
GH01,168,0,0,1,5,4,368,2,2.19047619047619,0.0740650213304932,0.146224420544456,0.921585400627317,0.959992396129947,0.438257398233237
GH02,168,0,0,1,5,4,360,2,2.14285714285714,0.0765886374186463,0.151206722493985,0.985457656116339,0.992702199109249,0.463261026250983
GH03,168,0,0,1,5,4,351,2,2.08928571428571,0.0759083183398838,0.149863588295272,0.968028229255774,0.983884256025969,0.470918960149182
GH04,168,0,0,1,5,4,368,2,2.19047619047619,0.0701094814504338,0.138415113039888,0.825777017393784,0.908722739560194,0.414851685451393
GH05,168,0,0,1,5,4,391,2,2.32738095238095,0.0738455604329765,0.145791145268285,0.916132021670944,0.957147857789456,0.411255345546364
GH06,168,0,0,1,5,4,373,2,2.2202380952381,0.0793946278517306,0.156746507911722,1.05898916452809,1.02907199190731,0.46349623227997
GH07,168,0,0,1,5,4,387,2,2.30357142857143,0.0799909678085871,0.157923844569059,1.07495722840034,1.03680144116429,0.450084346551938
GH08,168,0,0,1,5,4,370,2,2.20238095238095,0.0776396172457234,0.153281641443006,1.01268890789849,1.00632445458634,0.456925698298661
GH09,168,0,0,1,5,4,404,2,2.4047619047619,0.081088129862148,0.160089939746558,1.10464784716282,1.05102228671081,0.437058772691623
GH10,168,0,0,1,4,3,376,2,2.23809523809524,0.0779505151267944,0.153895438100206,1.02081551183348,1.01035415168815,0.451434833733002
GH11,168,0,0,1,5,4,398,2,2.36904761904762,0.0785524166714294,0.155083754838769,1.03664100370687,1.01815568736165,0.429774259991852
GH13,168,0,0,1,5,4,397,2,2.36309523809524,0.0841881994429245,0.166210317084651,1.19072569147419,1.09120378091088,0.461768854390497
GH15,168,0,0,1,5,4,398,2,2.36904761904762,0.0855047259266834,0.168809497085695,1.22825777017394,1.10826791443853,0.467811581974055
GH17,168,0,0,1,5,4,386,2,2.29761904761905,0.0776396172457234,0.153281641443006,1.01268890789849,1.00632445458634,0.437985772980582
GH19,168,0,0,1,5,4,393,2,2.33928571428571,0.0800227891794365,0.15798666857734,1.0758126603935,1.03721389327057,0.443389145214901
GH21,168,0,0,1,5,4,418,3,2.48809523809524,0.0787466399761577,0.155467204268472,1.04177359566581,1.02067310911271,0.410222685002239
WW_97,168,124,0,0,52,52,900,0,5.35714285714286,0.923402516028191,1.82304676904109,143.248930710009,11.9686645332722,2.23415071287748
WW_98,168,109,0,0,52,52,1375,0,8.18452380952381,1.16238081614613,2.29485468632386,226.989699173082,15.0661773244935,1.8408129385563
WW_99,168,74,0,0,52,52,2136,3.5,12.7142857142857,1.31517819092195,2.5965181056539,290.588537211292,17.0466576551326,1.34074835489807
WW_00,168,58,0,0,53,53,3296,13.5,19.6190476190476,1.54171187343786,3.04375697583368,399.315084117479,19.9828697668148,1.01854433277454
WW_01,168,46,0,0,52,52,3789,17.5,22.5535714285714,1.54895309734933,3.05805311389544,403.0749572284,20.0767267558335,0.890179491945111
WW_02,168,54,0,0,52,52,3232,14.5,19.2380952380952,1.46852341745192,2.8992631327909,362.302252637582,19.0342389560913,0.989403510093853
WW_03,168,51,0,0,52,52,4129,25.5,24.577380952381,1.62596064087951,3.21008687055913,444.149664955803,21.0748585987143,0.857490008375879
WW_04,168,47,0,0,52,52,4329,27.5,25.7678571428571,1.6668442993653,3.29080229012469,466.766146278871,21.6047713776117,0.838438806061162
WW_05,168,49,0,0,53,53,4587,29.5,27.3035714285714,1.70604518454155,3.36819545921795,488.979148845167,22.1128729215624,0.809889394118701
WW_06,168,40,0,0,52,52,4941,31.5,29.4107142857143,1.60179563032033,3.16237859203586,431.045872540633,20.7616442638976,0.705921116440964
WW_07,168,37,0,0,52,52,5139,38,30.5892857142857,1.63190867285344,3.22182989733674,447.405153977759,21.1519539044921,0.691482439376274
WW_08,168,54,0,0,52,52,4492,31,26.7380952380952,1.72878063933736,3.41308140731613,502.098659823211,22.4075580959464,0.838038682128002
WW_09,168,53,0,0,52,52,4193,24,24.9583333333333,1.70425995901124,3.36467094030171,487.956337325349,22.0897337540621,0.885064457591803
WW_10,168,57,0,0,52,52,3958,17,23.5595238095238,1.70309565636352,3.36237229139913,487.289848873681,22.0746426669534,0.936973210724653
WW_11,168,53,0,0,53,53,4635,32,27.5892857142857,1.77004045851357,3.49453947000797,526.35126176219,22.9423464746348,0.831567250860551
WW_12,168,60,0,0,52,52,4666,32.5,27.7738095238095,1.84870623425866,3.64984702637358,574.176076418591,23.9619714635209,0.862754223290081
WW_13,168,51,0,0,52,52,4965,39,29.5535714285714,1.77493556890919,3.50420374429347,529.266573994867,23.0057943569629,0.778443796972764
WW_14,168,54,0,0,52,52,5194,49.5,30.9166666666667,1.8333479145025,3.61952554173024,564.675648702595,23.7629048877151,0.768611478847928
WW_15,168,47,0,0,52,52,5424,47,32.2857142857143,1.76705391279792,3.48864321953972,524.576561163388,22.9036364179007,0.709404667811084
WW_16,168,46,0,0,53,53,5556,49,33.0714285714286,1.81994563829789,3.59306581706141,556.4499572284,23.5891915340141,0.713280089581418
WW_17,168,34,0,0,52,52,6017,52,35.8154761904762,1.65548659391385,3.26837910211341,460.426824921585,21.4575586896922,0.599114153210618
WW_18,168,36,0,0,52,52,5641,52,33.577380952381,1.74860930981686,3.4522285755603,513.682599087539,22.6645670394901,0.67499508289919
WW_19,168,35,0,0,52,52,5317,41,31.6488095238095,1.54610587943712,3.05243193426302,401.594489592244,20.0398225938316,0.633193567004648
WW_20,168,58,0,0,26,26,980,3,5.83333333333333,0.531289747446579,1.04890991815055,47.4211576846307,6.88630217784776,1.1805089447739
A97,168,105,0,0,5,5,109,0,0.648809523809524,0.0810449474120698,0.160004685889515,1.10347162817223,1.05046257818745,1.61906158839901
A98,168,85,0,0,9,9,193,0,1.14880952380952,0.130428840435994,0.257501871631629,2.8579626461363,1.69055098891938,1.47156770019925
A99,168,103,0,0,6,6,108,0,0.642857142857143,0.0788812359106615,0.155732933112897,1.0453378956373,1.02241767181387,1.59042748948824
A00,168,120,0,0,9,9,107,0,0.636904761904762,0.118632545574785,0.234212789286605,2.36437838608497,1.53765353252447,2.41425975200103
A01,168,105,0,0,8,8,110,0,0.654761904761905,0.088143776269163,0.174019697530987,1.30524664955803,1.14247391635784,1.7448692540738
A02,168,123,0,0,8,8,82,0,0.488095238095238,0.0822880386385062,0.162458884794805,1.13758197889934,1.06657488199345,2.18517780701097
A03,168,133,0,0,50,50,125,0,0.744047619047619,0.310219095268809,0.612456550104729,16.167629027659,4.02089903226368,5.40408829936238
A04,168,143,0,0,7,7,46,0,0.273809523809524,0.0657816835749405,0.129870867386414,0.726974622184203,0.852628067907809,3.11394598714156
A05,168,143,0,0,4,4,35,0,0.208333333333333,0.0437530125783973,0.0863803020160128,0.321606786427146,0.567103858589541,2.7220985212298
A06,168,141,0,0,13,13,58,0,0.345238095238095,0.095144486360078,0.187840996142054,1.52081551183348,1.23321348996574,3.57206666059041
A07,168,136,0,0,5,5,47,0,0.279761904761905,0.0559578408901971,0.110475940087513,0.52605503279156,0.725296513704264,2.59254924047482
A08,168,147,0,0,3,3,32,0,0.19047619047619,0.043012107757829,0.0849175551468429,0.310806957513544,0.557500634540934,2.9268783313399
A09,168,151,0,0,8,8,30,0,0.178571428571429,0.0586910668635843,0.115872068745766,0.578699743370402,0.760723171311616,4.26004975934505
A10,168,149,0,0,3,3,25,0,0.148809523809524,0.0354609157173305,0.0700094560103452,0.211256059309952,0.459625999384229,3.08868671586202
A11,168,150,0,0,10,10,36,0,0.214285714285714,0.075111767847332,0.148290981792021,0.947818648417451,0.973559781635134,4.54327898096396
A12,168,159,0,0,3,3,13,0,0.0773809523809524,0.0279988184217521,0.0552772540411672,0.131700883946393,0.362906164106361,4.68986427460528
A13,168,156,0,0,3,3,15,0,0.0892857142857143,0.0277858387152393,0.0548567743921626,0.129704875962361,0.360145631602496,4.03363107394796
A14,168,152,0,0,2,2,21,0,0.125,0.0318020457975433,0.0627858553921657,0.169910179640719,0.412201624985539,3.29761299988431
A15,168,157,0,0,2,2,14,0,0.0833333333333333,0.0259090041226943,0.0511513943649554,0.112774451097804,0.335819074946323,4.02982889935588
A16,168,163,0,0,7,7,11,0,0.0654761904761905,0.0431672044342018,0.0852237580105371,0.31305246649558,0.559510917226447,8.54525764491301
A17,168,162,0,0,1,1,6,0,0.0357142857142857,0.0143603695159962,0.0283512604676223,0.03464499572284,0.186131662332984,5.21168654532356
A18,168,159,0,0,11,11,21,0,0.125,0.0692064165138159,0.136632218163213,0.804640718562874,0.897017680184106,7.17614144147284
A19,168,162,0,0,6,6,12,0,0.0714285714285714,0.0392140388743742,0.077419138057446,0.258340461933276,0.50827203536421,7.11580849509894
A20,168,164,0,0,2,2,5,0,0.0297619047619048,0.0156268032620009,0.0308515438313596,0.0410250926717993,0.202546519772124,6.80556306434335
A21,168,160,0,0,2,2,9,0,0.0535714285714286,0.0193620241489301,0.0382258819465085,0.0629811804961506,0.250960515811055,4.68459629513969
I97,168,168,0,0,0,0,0,0,0,0,0,0,0,
I98,168,167,0,0,6,6,6,0,0.0357142857142857,0.0357142857142857,0.0705096770367162,0.214285714285714,0.462910049886276,12.9614813968157
I99,168,164,0,0,8,8,15,0,0.0892857142857143,0.0546069484171233,0.107808912311855,0.500962360992301,0.707786946045419,7.9272137957087
I00,168,162,0,0,12,12,27,0,0.160714285714286,0.0832964091889883,0.164449681486544,1.16563301967494,1.07964485812462,6.71779022833098
I01,168,151,0,0,12,12,91,0,0.541666666666667,0.152176062308563,0.300436780170687,3.89046906187625,1.97242720065311,3.6414040627442
I02,168,139,0,0,12,12,218,0,1.29761904761905,0.255752121576758,0.5049239858273,10.9887368120901,3.31492636601329,2.55462215362492
I03,168,145,0,0,12,12,191,0,1.13690476190476,0.246145882552279,0.485958667115003,10.17874964357,3.19041527760416,2.80622914469894
I04,168,144,0,0,12,12,175,0,1.04166666666667,0.239456030757813,0.472751087010365,9.63298403193613,3.10370488802272,2.97955669250181
I05,168,140,0,0,12,12,239,0,1.42261904761905,0.280343721546506,0.553474467434426,13.2035571713715,3.63366993153912,2.55421149999403
I06,168,142,0,0,12,12,250,0,1.48809523809524,0.295024332319943,0.582457970915856,14.6226119190191,3.82395239497292,2.5696960094218
I07,168,126,0,0,12,12,383,0,2.2797619047619,0.33845427618178,0.668200447747639,19.2446179070431,4.38686880440287,1.92426621185296
I08,168,127,0,0,12,12,365,0,2.17261904761905,0.336454982031282,0.664253299371755,19.0179284288566,4.36095499046442,2.0072340778028
I09,168,130,0,0,12,12,318,0,1.89285714285714,0.310568033057093,0.613145447845946,16.2040205303678,4.02542178291516,2.12663792304952
I10,168,135,0,0,12,12,298,0,1.77380952380952,0.303564789116523,0.599319146729096,15.4814656401483,3.93464936686209,2.21819158937192
I11,168,134,0,0,12,12,288,0,1.71428571428571,0.302558105133468,0.597331679778445,15.3789563729683,3.92160125114326,2.28760072983357
I12,168,137,0,0,12,12,324,0,1.92857142857143,0.327280164385568,0.646139723357794,17.9948674080411,4.24203576223033,2.19957409893425
I13,168,137,0,0,12,12,256,0,1.52380952380952,0.287307836245733,0.567223516826523,13.8676931850585,3.72393517465845,2.44383245836961
I14,168,140,0,0,12,12,248,0,1.47619047619048,0.287803642725251,0.568202373159341,13.9155973766752,3.73036156111914,2.52701912204845
I15,168,143,0,0,12,12,233,0,1.38690476190476,0.277330649887178,0.547525847565971,12.9212646136299,3.59461605927947,2.59182617149765
I16,168,148,0,0,12,12,195,0,1.16071428571429,0.262868186143718,0.518973025430186,11.60874679213,3.40716110451649,2.93540033619882
I17,168,150,0,0,12,12,165,0,0.982142857142857,0.237380860860294,0.468654139350795,9.46674508126604,3.0768076120008,3.13274956858263
I18,168,150,0,0,12,12,151,0,0.898809523809524,0.221563494648483,0.43742637262214,8.24718420302253,2.87179111409979,3.19510534548851
I19,168,154,0,0,12,12,90,0,0.535714285714286,0.157931827111403,0.311800219456418,4.19033361847733,2.04703043906956,3.82112348626319
I20,168,161,0,0,6,6,32,0,0.19047619047619,0.0745447072843949,0.147171450591738,0.933561448531508,0.966209836697758,5.07260164266323
I21,168,159,0,0,12,12,71,0,0.422619047619048,0.154187122189554,0.304407157286571,3.99397633304819,1.99849351588845,4.72882972773606
NHIN_97,168,137,0,0,1,1,31,0,0.18452380952381,0.0300174373716854,0.059262554807327,0.151375819788993,0.389070456073181,2.10851085871918
NHIN_02,168,85,0,0,1,1,83,0,0.494047619047619,0.0386884198089217,0.0763814236020629,0.251461362988309,0.501459233625535,1.01500182227819
NHIN_03,168,69,0,0,1,1,99,1,0.589285714285714,0.038069276689892,0.0751590673239188,0.243477331052181,0.493434221606266,0.837342921513663
NHIN_04,168,70,0,0,1,1,98,1,0.583333333333333,0.0381499998474,0.0753184367093465,0.244510978043912,0.494480513310598,0.847680879961025
NHIN_05,168,65,0,0,1,1,103,1,0.613095238095238,0.0376884063178523,0.0744071260100084,0.238629883090961,0.488497577364475,0.796772747545939
NHIN_06,168,68,0,0,1,1,100,1,0.595238095238095,0.0379827967058946,0.0749883324031484,0.242372398061021,0.492313312902486,0.827086365676176
NHIN_07,168,81,0,0,1,1,87,1,0.517857142857143,0.0386664782674949,0.0763381050540716,0.25117621899059,0.501174838744515,0.967785895506649
NHIN_08,168,63,0,0,1,1,105,1,0.625,0.0374625561564138,0.0739612365956402,0.235778443113772,0.485570224698521,0.776912359517634
NHIN_09,168,68,0,0,1,1,100,1,0.595238095238095,0.0379827967058946,0.0749883324031484,0.242372398061021,0.492313312902486,0.827086365676176
NHIN_10,168,61,0,0,1,1,107,1,0.636904761904762,0.0372125378208027,0.0734676326569188,0.232641859138865,0.482329616692636,0.757302575741709
NHIN_11,168,66,0,0,1,1,102,1,0.607142857142857,0.0377924055485398,0.0746124486707079,0.239948674080411,0.489845561458314,0.806804454166634
NHIN_13,168,80,0,0,1,1,88,1,0.523809523809524,0.0386472692000682,0.0763001811501394,0.250926717992586,0.500925860774413,0.95631300693297
NHIN_15,168,93,0,0,1,1,75,0,0.446428571428571,0.0384684412252991,0.0759471262732486,0.248609923011121,0.498607985306213,1.11688188708592
NHIN_17,168,107,0,0,1,1,61,0,0.363095238095238,0.0372125378208027,0.0734676326569188,0.232641859138865,0.482329616692636,1.3283832066289
NHIN_19,168,106,0,0,1,1,62,0,0.369047619047619,0.0373405972519342,0.0737204566725751,0.234245794126034,0.483989456626933,1.31145530182782
NHIN_21,168,110,0,0,1,1,58,0,0.345238095238095,0.0367911041736202,0.072635608446972,0.227402338180781,0.476867212314688,1.38127054601496
Valid_Insurance,168,0,0,5,16,11,2262,14,13.4642857142857,0.207482784514506,0.409627235550299,7.232249786142,2.68928425164429,0.199734639379417
