row.names.t.stat.desc.C...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,8961,0,0,1,9022,9021,40373741,4505,4505.49503403638,27.499637129187,53.9055801983556,6776577.40848538,2603.18601111895,0.57778024200524
NA_B18,8958,7361,3,0,17,17,3387,0,0.378097789685198,0.0125275787755636,0.0245569215972885,1.40587058014249,1.18569413431225,3.13594569092683
NA_A18,8961,6540,0,0,68,68,7736,0,0.863296507086263,0.0292878605441408,0.0574109072052004,7.68655560504249,2.77246381492031,3.2114850369055
B18_NOARREST,8961,1600,0,0,1,1,7361,1,0.821448499051445,0.00404592583956784,0.0079309402810244,0.146687231973472,0.382997691864419,0.466246748647882
B18_ARREST,8961,7470,0,0,1,1,1491,0,0.166387679946435,0.00393449176339384,0.00771250399759972,0.138718300133914,0.372449057098972,2.23844131499926
B18_INCAF,8961,8852,0,0,1,1,109,0,0.0121638210021203,0.00115803975674782,0.00227002286201075,0.0120172035168269,0.109623006329998,9.01221797911116
Classification,,,,,,,,,,,,,,
Hispanic,8938,7044,23,0,1,1,1894,0,0.211904229134034,0.00432278296834088,0.00847364653964087,0.167019513261736,0.408680209040928,1.92860808258068
White,8882,3659,79,0,1,1,5223,1,0.588043233505967,0.00522275331974583,0.0102378036829871,0.242275666186053,0.492215060909409,0.837038899291091
Black,8882,6501,79,0,1,1,2381,0,0.268070254447197,0.00470032704504134,0.00921372743204913,0.196230686202142,0.442979329317003,1.65247475976213
Other_R,8882,7604,79,0,1,1,1278,0,0.143886512046836,0.00372430103000885,0.00730049084597253,0.123197054115994,0.350994379037605,2.43938346996245
Male,8961,4376,0,0,1,1,4585,1,0.511661644905703,0.00528077719817372,0.0103515314557977,0.24989189264591,0.499891880956182,0.976996978243915
Sample,8961,0,0,1,2,1,11193,1,1.24907934382323,0.00456890236095155,0.00895609391061123,0.187059699172605,0.432503987464399,0.346258217785087
MSA_97,8961,1576,0,0,1,1,7385,1,0.824126771565673,0.00402200748275545,0.00788405482957986,0.144958012498605,0.380733519011139,0.46198416572225
Urban_97,8581,2027,380,0,1,1,6554,1,0.763780445169561,0.00458562511144569,0.00898892811342564,0.180440904703811,0.4247833620845,0.556158991462785
Northeast,8961,7378,0,0,1,1,1583,0,0.176654391250976,0.00402901886351207,0.00789779873994136,0.145463850295726,0.381397234252853,2.1590022843587
Northcentral,8961,6917,0,0,1,1,2044,0,0.228099542461779,0.00443290936076141,0.00868951651747232,0.176089791875907,0.419630542115212,1.83968164769785
South,8961,5610,0,0,1,1,3351,0,0.37395379979913,0.00511161531175962,0.0100199354572119,0.234138484026018,0.483878583971245,1.29395284719974
West,8961,6978,0,0,1,1,1983,0,0.221292266488115,0.00438547215145029,0.00859652873443744,0.172341231646659,0.415140014509153,1.87598067070929
PIB16,7690,7153,1271,0,1,1,537,0,0.0698309492847854,0.00290649771001522,0.00569752770726738,0.0649630355357095,0.254878472091523,3.64993566179481
BMEA97,8267,0,694,1,20,19,102800,12,12.4349824603847,0.0320499766307966,0.0628259992946996,8.49187068382008,2.91408144769841,0.234345440935046
BFEA97,7102,0,1859,1,20,19,89208,12,12.5609687411997,0.0380897245717096,0.0746672153236557,10.3037741916717,3.20994925063803,0.255549497556624
PHEALTH97,7922,0,1039,1,5,4,18407,2,2.32352941176471,0.012341598392357,0.0241927851182835,1.20663983305732,1.09847158955401,0.472759924618183
BBPHH,8961,4580,0,0,1,1,4381,0,0.488896328534762,0.00528091142701704,0.0103517945750398,0.249904596505492,0.499904587401928,1.02251655049274
CC1Y,7799,5538,1162,0,1,1,2261,0,0.289908962687524,0.00513802509506606,0.0100719074425636,0.205888155342845,0.45374900037669,1.56514305791146
HT97,7861,7426,1100,0,1,1,435,0,0.0553364711868719,0.00257889126775892,0.00505531247250348,0.0522809968236273,0.228650381201579,4.13200148649566
HHNW97,6608,3,2353,-935251,600000,1535251,595284177,34500,90085.3778753027,1688.0688880621,3309.16044144472,18830001980.1319,137222.454358359,1.52324891780222
GH97,8956,0,5,1,5,4,17396,2,1.94238499330058,0.00961489133600179,0.0188473881554816,0.827947588670363,0.909916253657645,0.468453090811558
GH98,8369,0,592,1,5,4,16051,2,1.91791133946708,0.00997814738730685,0.0195596386508869,0.833246306191908,0.912823261202248,0.475946537474401
GH99,8190,0,771,1,5,4,16050,2,1.95970695970696,0.0101596903771272,0.0199155708213916,0.84536613709895,0.919437946301407,0.469171138953802
GH00,8060,0,901,1,5,4,16072,2,1.99404466501241,0.0105046657883705,0.0205918592560931,0.889404906802407,0.943082661701723,0.472949617553253
GH01,7863,0,1098,1,5,4,16030,2,2.03866208826148,0.0105051692360028,0.0205929236520275,0.867749519863713,0.931530740160363,0.456932389886521
GH02,7877,0,1084,1,5,4,16475,2,2.09153230925479,0.0105223718743298,0.0206266397496278,0.87214388078051,0.933886438910272,0.446508253675036
GH03,7737,0,1224,1,5,4,16185,2,2.09189608375339,0.0107117375578242,0.0209979051219095,0.887753604505085,0.942206773752495,0.450408020297995
GH04,7478,0,1483,1,5,4,15852,2,2.11981813319069,0.0107941609246401,0.0211595919268033,0.871291019481228,0.933429707841585,0.440334806664104
GH05,7321,0,1640,1,5,4,15886,2,2.16992214178391,0.0110897636000501,0.0217391318165138,0.90035749393727,0.948871695192385,0.437283751762775
GH06,7543,0,1418,1,5,4,16221,2,2.15047063502585,0.0108686672483705,0.0213056155519293,0.891038959062007,0.943948599798743,0.438949774260645
GH07,7404,0,1557,1,5,4,16358,2,2.20934629929768,0.0110341830247924,0.0216301377697225,0.901460655962259,0.949452819239723,0.429743775134546
GH08,7472,0,1489,1,5,4,16719,2,2.23755353319058,0.0109467176362299,0.0214586487875529,0.895374444998892,0.946242276057719,0.422891458024001
GH09,7541,0,1420,1,5,4,17123,2,2.27065375944835,0.0110642775188709,0.0216890670977661,0.923155925327045,0.960810036025356,0.423142468122829
GH10,7459,0,1502,1,5,4,17211,2,2.30741386244805,0.0113783183587279,0.0223047140273684,0.965687853768654,0.982694181202196,0.425885532368089
GH11,7403,0,1558,1,5,4,17248,2,2.32986627043091,0.0113655688591912,0.022279748771086,0.956291079114797,0.977901364716706,0.419724246463229
GH13,7115,0,1846,1,5,4,16506,2,2.31988756148981,0.0117144257294747,0.0229637595357298,0.976375584769355,0.988117191819551,0.425933225481407
GH15,7079,0,1882,1,5,4,16745,2,2.36544709704761,0.0118800221622599,0.0232883979658814,0.999094145229986,0.999546969996901,0.422561540794749
GH17,6704,0,2257,1,5,4,15706,2,2.34278042959427,0.0119156740980965,0.0233585099308666,0.951855970877572,0.975631062890871,0.416441528436292
GH19,6924,0,2037,1,5,4,16358,2,2.36250722125939,0.0116591906527538,0.0228555896539708,0.941225895513352,0.970167972834268,0.410651854988658
GH21,6696,0,2265,1,5,4,16373,2,2.44519115890084,0.0120745010343714,0.0236698663345397,0.976233779733623,0.988045434043204,0.404076969788878
WW_97,8839,6126,122,0,52,52,73543,0,8.32028510012445,0.16620179526397,0.325794150310401,244.160021824117,15.6256206860437,1.87801505573529
