row.names.t.stat.desc.C.C.Classification....2....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,1317,0,0,18,9021,9003,6081396,4632,4617.61275626424,70.8394711453058,138.970625561283,6609009.79521709,2570.79944671246,0.556737773912488
NA_B18,1317,0,0,1,17,16,2296,1,1.74335611237661,0.0411109687591402,0.0806501933670443,2.22587717779886,1.4919373907101,0.85578464440993
NA_A18,1317,632,0,0,55,55,2555,1,1.94001518602885,0.102294680169088,0.200678456019663,13.7813534952099,3.71232454066316,1.91355437184085
B18_NOARREST,1317,1317,0,0,0,0,0,0,0,0,0,0,0,
B18_ARREST,1317,0,0,1,1,0,1317,1,1,0,0,0,0,0
B18_INCAF,1317,1317,0,0,0,0,0,0,0,0,0,0,0,
Classification,,,,,,,,,,,,,,
Hispanic,1315,1047,2,0,1,1,268,0,0.203802281368821,0.0111126414596768,0.0218004577694339,0.162390402277896,0.402976925242496,1.97729349512643
White,1308,567,9,0,1,1,741,1,0.56651376146789,0.013707400297062,0.0268909131941625,0.245763812358297,0.495745713403854,0.875081502202755
Black,1308,924,9,0,1,1,384,0,0.293577981651376,0.0125966789304636,0.0247119214667156,0.207548626660958,0.455575050525111,1.55180251585116
Other_R,1308,1125,9,0,1,1,183,0,0.139908256880734,0.0095952494198282,0.0188237750144527,0.120426005348757,0.347024502519285,2.48037185407227
Male,1317,437,0,0,1,1,880,1,0.668185269552012,0.0129798099911193,0.0254633791722197,0.221882190573123,0.471043724693497,0.704959756160608
Sample,1317,0,0,1,2,1,1643,1,1.24753227031131,0.0118968478579751,0.0233388584400769,0.186401580454796,0.431742493223445,0.346077214592378
MSA_97,1317,255,0,0,1,1,1062,1,0.806378132118451,0.0108922757885488,0.0213681208462967,0.156251081831463,0.395286075939266,0.490199399258016
Urban_97,1262,243,55,0,1,1,1019,1,0.807448494453249,0.0111038434615274,0.0217840422357055,0.155598718598049,0.394460034221528,0.48852655857465
Northeast,1317,1095,0,0,1,1,222,0,0.168564920273349,0.010319765463165,0.0202449882653704,0.140257285485803,0.37450939305417,2.22175166960514
Northcentral,1317,998,0,0,1,1,319,0,0.242217160212604,0.0118099182825833,0.0231683227588154,0.183687481680987,0.42858777593509,1.76943605299848
South,1317,839,0,0,1,1,478,0,0.36294608959757,0.0132550450807898,0.0260033266332824,0.231391921863497,0.481032142235315,1.32535424963161
West,1317,1019,0,0,1,1,298,0,0.226271829916477,0.0115340413606183,0.0226271161715336,0.175205923012834,0.418576065981841,1.84988147281236
PIB16,1139,1016,178,0,1,1,123,0,0.107989464442493,0.00920035435303272,0.0180515622745579,0.0964123865321382,0.310503440451371,2.875312346944
BMEA97,1201,0,116,2,20,18,14585,12,12.1440466278102,0.0789453093882244,0.154886184409522,7.48506661115737,2.73588497769138,0.225286106150658
BFEA97,1005,0,312,2,20,18,12148,12,12.0875621890547,0.0931133197385973,0.182719024135711,8.71344076430596,2.9518537843711,0.244205881897675
PHEALTH97,1165,0,152,1,5,4,2833,2,2.43175965665236,0.0331457736571536,0.0650321439140763,1.27991829270091,1.13133473945641,0.465232958512786
BBPHH,1317,825,0,0,1,1,492,0,0.373576309794989,0.0133350855453094,0.0261603474755425,0.234194875061448,0.483936850282605,1.29541632484185
CC1Y,1141,808,176,0,1,1,333,0,0.291849255039439,0.0134644843867234,0.026417952513844,0.206854559712164,0.454812664414882,1.55838213242456
HT97,1150,1078,167,0,1,1,72,0,0.0626086956521739,0.00714690112697842,0.0140224398787122,0.0587399250766262,0.242363208999687,3.8710790326339
HHNW97,1009,0,308,-313250,600000,913250,71617161,22980,70978.3557978196,3860.74941262686,7576.02659271031,15039534501.3425,122635.779857848,1.7277912185959
GH97,1316,0,1,1,5,4,2699,2,2.05091185410334,0.0257739190948218,0.0505624916344919,0.874212095646446,0.934993099250709,0.45589141112039
GH98,1239,0,78,1,5,4,2562,2,2.06779661016949,0.0279969915601517,0.0549267949187229,0.971167273623395,0.985478195407384,0.476583717451112
GH99,1203,0,114,1,5,4,2564,2,2.13133832086451,0.0277964831232752,0.0545350193935713,0.929491302249092,0.964101292525371,0.452345497234018
