row.names.t.stat.desc.C.C.Classification....4....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,109,0,0,370,8892,8522,585802,5519,5374.33027522936,214.111093014966,424.4053310563,4996948.05657492,2235.3854380341,0.415937488683407
NA_B18,106,0,3,1,17,16,450,3,4.24528301886792,0.341712646722167,0.677553055169643,12.377358490566,3.51814702514918,0.828719077035141
NA_A18,109,27,0,0,30,30,473,2,4.3394495412844,0.546079248474413,1.08242380611059,32.5040774719674,5.7012347322284,1.31381519199344
B18_NOARREST,109,109,0,0,0,0,0,0,0,0,0,0,0,
B18_ARREST,109,109,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,109,0,0,1,1,0,109,1,1,0,0,0,0,0
Classification,,,,,,,,,,,,,,
Hispanic,109,88,0,0,1,1,21,0,0.192660550458716,0.0379500723118986,0.0752236270262563,0.156982670744139,0.396210386971541,2.05652057999514
White,109,56,0,0,1,1,53,0,0.486238532110092,0.0480942960737429,0.0953312383757241,0.252123683316344,0.502119192340169,1.0326602257562
Black,109,64,0,0,1,1,45,0,0.412844036697248,0.0473759430728736,0.0939073381057464,0.244648318042813,0.494619366829498,1.19807802187589
Other_R,109,98,0,0,1,1,11,0,0.100917431192661,0.0289848464997205,0.0574529941494909,0.0915732246007475,0.302610681570806,2.99859675374707
Male,109,21,0,0,1,1,88,1,0.807339449541285,0.0379500723118986,0.0752236270262563,0.156982670744139,0.396210386971541,0.490760592953387
Sample,109,0,0,1,2,1,145,1,1.3302752293578,0.0452558060762959,0.0897048587701503,0.223241590214067,0.472484486744345,0.35517799348368
MSA_97,109,31,0,0,1,1,78,1,0.715596330275229,0.0434099986745516,0.0860461482831198,0.205402650356779,0.45321369171372,0.633337082010198
Urban_97,102,26,7,0,1,1,76,1,0.745098039215686,0.0433643270799318,0.0860231600507681,0.191807416035721,0.43795823549252,0.587786052897855
Northeast,109,94,0,0,1,1,15,0,0.137614678899083,0.0331490571692336,0.0657071821175068,0.119775739041794,0.346086317328198,2.51489390591824
Northcentral,109,80,0,0,1,1,29,0,0.26605504587156,0.0425212102234744,0.0842844153831244,0.197077811756711,0.443934467862894,1.66858127576053
South,109,61,0,0,1,1,48,0,0.440366972477064,0.0477691111676248,0.0946866654776449,0.248725790010194,0.498724162248225,1.13251945177201
West,109,92,0,0,1,1,17,0,0.155963302752294,0.0349124236280198,0.069202480353467,0.132857628270472,0.364496403645458,2.33706517631499
PIB16,95,84,14,0,1,1,11,0,0.115789473684211,0.0330026226340413,0.0655274808829664,0.103471444568869,0.321669775653338,2.77805715336974
BMEA97,98,0,11,1,18,17,1120,12,11.4285714285714,0.272523178483696,0.540883071062818,7.27835051546392,2.69784182550866,0.236061159732008
BFEA97,76,0,33,3,16,13,832,12,10.9473684210526,0.291333736907327,0.580366564826609,6.45052631578947,2.53978863604621,0.23199992348499
PHEALTH97,94,0,15,1,5,4,268,3,2.85106382978723,0.114152349171794,0.226683942097186,1.22489132921528,1.10674808751372,0.388187762038395
BBPHH,109,84,0,0,1,1,25,0,0.229357798165138,0.04045491301322,0.0801886558443254,0.178389398572885,0.422361691649331,1.84149697559108
CC1Y,93,72,16,0,1,1,21,0,0.225806451612903,0.0435912209478823,0.0865759274637826,0.17671809256662,0.420378511066658,1.8616762632952
HT97,94,82,15,0,1,1,12,0,0.127659574468085,0.0346041528234881,0.0687169894607828,0.112560054907344,0.335499709250759,2.62808105579761
HHNW97,87,0,22,-40000,334000,374000,3149436,7500,36200.4137931035,7312.52443601063,14536.8174603042,4652152185.57097,68206.6872496456,1.88414109406229
GH97,109,0,0,1,5,4,242,2,2.22018348623853,0.0969793513662919,0.192229898706647,1.02514441046551,1.01249415329942,0.4560407549985
GH98,102,0,7,1,5,4,228,2,2.23529411764706,0.0967100739221445,0.191846771937487,0.953989516598719,0.97672386916606,0.436955415153237
GH99,96,0,13,1,4,3,201,2,2.09375,0.103743658652114,0.205957202446441,1.03322368421053,1.01647611098861,0.48548112763635
GH00,95,0,14,1,5,4,205,2,2.15789473684211,0.105095050535036,0.208668686461469,1.04927211646137,1.0243398442223,0.474694074151798
GH01,95,0,14,1,5,4,204,2,2.14736842105263,0.107884494092242,0.214207192034066,1.1057110862262,1.05152797691084,0.48968214611044
GH02,100,0,9,1,4,3,218,2,2.18,0.0988622140847421,0.196164081058311,0.977373737373737,0.988622140847421,0.453496394884138
