row.names.t.stat.desc.C.C.Classification....1....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,7356,0,0,1,9022,9021,32818838,4434.5,4461.50598151169,30.4024124669483,59.5974410156529,6799199.9661097,2607.52755807291,0.584450086781999
NA_B18,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
NA_A18,7356,5838,0,0,68,68,3964,0,0.538879825992387,0.0252900799419874,0.049575804198509,4.70481038338085,2.16905748733888,4.02512282463794
B18_NOARREST,7356,0,0,1,1,0,7356,1,1,0,0,0,0,0
B18_ARREST,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,7356,7356,0,0,0,0,0,0,0,0,0,0,0,
Classification,,,,,,,,,,,,,,
Hispanic,7336,5782,20,0,1,1,1554,0,0.211832061068702,0.00477095333973017,0.00935243998042785,0.166982000967858,0.408634312029543,1.92904846399532
White,7289,2942,67,0,1,1,4347,1,0.596378103992317,0.00574703738251472,0.0112658572751073,0.240744289509522,0.490656997819783,0.822728055465469
Black,7289,5401,67,0,1,1,1888,0,0.259020441761559,0.00513175544049972,0.0100597265191492,0.191955187425107,0.438126907898963,1.69147618203154
Other_R,7289,6235,67,0,1,1,1054,0,0.144601454246124,0.00411970768968048,0.00807581989779818,0.123708845667479,0.351722682901571,2.43235923687813
Male,7356,3873,0,0,1,1,3483,0,0.473491027732463,0.00582193599536287,0.0114126629739582,0.249331169328053,0.499330721394201,1.05457272080842
Sample,7356,0,0,1,2,1,9163,1,1.24564980967917,0.00501941818306666,0.00983949808007582,0.185331175242656,0.430501074612661,0.345603612883415
MSA_97,7356,1256,0,0,1,1,6100,1,0.829255029907559,0.00438759646701766,0.00860094645212276,0.14161037628333,0.376311541522885,0.453794704826614
Urban_97,7043,1730,313,0,1,1,5313,1,0.754366037200057,0.00512964441184594,0.0100556466398423,0.185324232370931,0.430493010827042,0.570668600650264
